Flight Number,Departure Date,Departure Time,Arrival Date,Arrival Time,Origin Airport,Destination Airport,Airline,Status,Passenger Name,Passenger Email,Baggage Tag Number,Baggage Status
FL2558,2023-07-19,07:01,2023-11-28,03:25,EHA,DKI,"Greene, Jordan and Winters",On Time,Christopher Wells,woodskelsey@example.net,BG0735,Loaded
FL6850,2023-07-05,15:22,2023-08-14,23:05,EWY,CQZ,Hernandez-Peters,On Time,Melissa Russell,thompsonapril@example.net,BG5684,Loaded
FL2101,2023-09-04,20:58,2023-09-26,16:48,OPT,GGF,"Jacobson, Fox and Tucker",On Time,Erik Kirby,bradleyshane@example.com,BG3666,Checked-in
FL9980,2023-04-22,19:24,2023-11-20,18:55,XCP,FNU,Davis PLC,On Time,Jennifer Anderson,swilcox@example.net,BG8397,Checked-in
FL5446,2023-04-22,18:19,2023-08-17,03:37,DZO,VSF,"Sheppard, White and Hubbard",Delayed,Bradley Petty,ybennett@example.com,BG5423,Checked-in
FL2173,2023-09-25,12:48,2023-10-28,10:39,SDJ,KFV,Gibson Ltd,Delayed,Tamara Evans,daniel86@example.net,BG0411,Unloaded
FL7312,2023-01-16,12:04,2023-08-18,00:23,HMT,THL,"Carter, Ellis and Ward",Cancelled,Michael Alexander,laura29@example.com,BG4278,Loaded
FL0462,2023-03-13,00:50,2023-03-17,13:54,XYD,IRC,Gray and Sons,On Time,Andrew Evans,richardssarah@example.org,BG8791,Unloaded
FL6949,2023-07-29,05:40,2023-10-27,12:40,UUF,GIC,"Taylor, Allen and Murray",On Time,Matthew Walker,golson@example.com,BG1078,Unloaded
FL0560,2023-11-21,20:02,2023-12-02,05:51,ZZE,WTA,Wolf-Ryan,Cancelled,Sean Martinez,alisha46@example.org,BG3131,Unloaded
FL2722,2023-11-26,18:12,2023-12-05,18:31,CMJ,AAV,Washington-Gardner,On Time,Cheryl Mccall,robert82@example.com,BG2603,Checked-in
FL7652,2023-10-31,18:11,2023-12-11,00:48,RJP,PEP,Trevino-Smith,On Time,Brandon Mcdowell,msullivan@example.net,BG8996,Delivered
FL9688,2023-06-11,06:52,2023-10-16,07:32,EZO,RML,Hensley Ltd,On Time,Jennifer Smith,bsheppard@example.org,BG2518,Loaded
FL7630,2023-11-14,07:05,2023-12-28,03:35,MDA,DAQ,Lawrence Group,On Time,Kimberly Prince,melissa02@example.org,BG1581,Loaded
FL5497,2023-11-05,09:25,2023-11-06,19:12,DTE,XYN,Green Inc,On Time,Matthew Salinas,thompsonpamela@example.net,BG5492,Unloaded
FL6692,2023-03-12,13:22,2023-06-05,08:13,YSG,GJZ,"Alexander, Johnson and Booth",On Time,Tyler Ford,mossrandy@example.net,BG0826,Unloaded
FL7398,2023-07-28,09:41,2023-11-06,09:20,MHY,UIY,Palmer-Brown,On Time,Javier Ortiz,williamdaniel@example.net,BG2084,Unloaded
FL4374,2023-08-26,08:47,2023-10-12,13:01,JSO,CSU,"Peterson, Delgado and Richmond",Cancelled,Teresa Ray,christine49@example.org,BG2724,Delivered
FL6739,2023-09-03,12:35,2023-09-17,12:36,YWH,LLJ,"Gibson, Mckinney and Simpson",On Time,Dustin Hanson,david02@example.org,BG8799,Checked-in
FL1288,2023-12-03,08:51,2023-12-18,20:36,MMY,SFQ,Nichols-Porter,On Time,Deborah Thomas,larrypatterson@example.net,BG5328,Checked-in
FL4542,2023-10-27,03:47,2023-10-29,05:20,RXC,VSR,Dorsey PLC,On Time,Laura Dunn,kayla45@example.org,BG0608,Loaded
FL9827,2023-03-29,21:13,2023-09-20,11:45,AIF,ODA,Hernandez and Sons,Cancelled,Danielle Myers,lewisalexis@example.com,BG6761,Delivered
FL9474,2023-09-08,10:37,2023-10-17,17:35,BSB,XRN,"Phillips, Sanders and Christensen",On Time,Gina Mendoza,kyle64@example.org,BG3513,Unloaded
FL0778,2023-11-25,20:49,2023-11-28,19:47,CIF,EMW,Gibson LLC,Delayed,Keith Bean,rebekah37@example.net,BG3050,Delivered
FL5357,2023-08-21,19:05,2023-08-22,03:29,MAX,FNO,Blankenship-Johnson,Cancelled,Justin Boone,reneebarnes@example.com,BG6955,Unloaded
FL9172,2023-12-27,06:59,2023-12-29,17:40,LOH,IGV,Peterson-Simmons,On Time,Victor Hernandez,vnelson@example.net,BG6458,Unloaded
FL9108,2023-02-11,17:33,2023-10-29,09:17,BDJ,ZPI,"Franco, Warren and Williams",Cancelled,Arthur Robinson,meyersmackenzie@example.com,BG4652,Loaded
FL7464,2023-11-02,23:14,2023-12-25,18:28,YRN,HEA,Rose-Hamilton,On Time,Christine Montgomery,melindajohnson@example.org,BG0037,Delivered
FL6300,2023-09-29,16:05,2023-11-15,16:58,HLH,INY,"Hall, Cervantes and Cameron",On Time,Anna York,alvindavis@example.net,BG6270,Delivered
FL8199,2023-04-05,16:25,2023-08-25,07:44,BWB,YWE,Sanchez-Flowers,On Time,Margaret Ball,matthewstephens@example.org,BG6041,Checked-in
FL0097,2023-11-02,01:17,2023-12-02,09:58,OUG,OIN,"Carter, Black and Hancock",On Time,Ellen Simmons,schmidtdanielle@example.org,BG8516,Unloaded
FL4008,2023-10-19,12:12,2023-11-02,19:06,GCS,CCC,Moreno Ltd,On Time,Julie Dean,kennethmcdowell@example.net,BG2742,Loaded
FL5794,2023-07-31,12:39,2023-12-03,16:00,LUA,OAH,Roy and Sons,On Time,Ronald Chan,anthonyblake@example.com,BG0363,Loaded
FL1354,2023-11-22,10:58,2023-12-07,04:39,SPD,PVP,Norman and Sons,On Time,Crystal Blankenship,kperry@example.net,BG4678,Unloaded
FL1925,2023-01-20,07:01,2023-05-11,21:47,AEZ,VSN,Romero-Mueller,On Time,Carrie Galvan,rachelmosley@example.com,BG0136,Loaded
FL9217,2023-08-30,01:10,2023-09-21,00:49,KYF,YIW,Alvarez-Morales,Cancelled,Victoria Rodriguez,shane49@example.com,BG6372,Unloaded
FL3762,2023-01-05,23:40,2023-04-23,11:45,FQH,CHX,Mcclure-Drake,On Time,Kerry Guzman,nmoyer@example.com,BG1854,Delivered
FL8927,2023-11-18,15:12,2023-11-24,13:43,CIK,ZPW,Wheeler and Sons,On Time,Antonio Koch,jennifer56@example.com,BG0839,Checked-in
FL9941,2023-06-09,04:49,2023-11-25,22:18,HNV,JYX,Moran-Baker,On Time,John Zimmerman,kristinedickerson@example.com,BG5657,Loaded
FL9673,2023-05-31,06:17,2023-09-22,17:24,RJC,IRE,"Smith, Graham and David",On Time,Karen Gonzalez,kjohnson@example.org,BG3011,Loaded
FL9642,2023-10-06,04:48,2023-12-13,00:14,HOM,SOP,Berry-Chandler,Cancelled,Eric Haynes,royteresa@example.net,BG6306,Checked-in
FL3802,2023-05-06,03:47,2023-10-03,21:19,DVH,FPL,Kim LLC,Cancelled,Allison Brown,christinerodriguez@example.com,BG5030,Loaded
FL7553,2023-02-25,14:01,2023-06-23,04:32,ATR,RCX,Sampson-Martinez,Delayed,Drew Brady,frazierjessica@example.com,BG6074,Checked-in
FL8477,2023-01-25,07:37,2023-04-12,17:56,LLV,EHK,Newton-Alexander,On Time,Ronald Kirk,parknatalie@example.net,BG9078,Delivered
FL6942,2023-05-11,12:07,2023-08-05,09:19,RHU,KIF,"Johnson, Kelly and Padilla",On Time,Stephanie Peters,jill59@example.net,BG7170,Checked-in
FL7530,2023-06-21,23:50,2023-10-13,22:27,QHT,MMG,"Browning, Vazquez and Pearson",On Time,Shelia Kennedy,johnsonzachary@example.org,BG1584,Loaded
FL2983,2023-05-17,17:51,2023-12-06,14:24,GFB,WNW,"Baker, Douglas and Patel",Cancelled,James Jackson,ryanayers@example.com,BG6644,Checked-in
FL9391,2023-03-04,10:27,2023-06-12,10:46,IUB,MFQ,"Hammond, Ford and Peterson",On Time,Susan Rose,carrieblankenship@example.com,BG6351,Unloaded
FL2858,2023-02-12,15:19,2023-09-06,22:28,WIH,VPC,Stevens-Ball,On Time,Kimberly Bailey,shanesharp@example.net,BG9117,Delivered
FL8111,2023-02-10,10:54,2023-11-09,05:25,NPR,MWF,"Quinn, Bentley and Mckay",On Time,Chelsey Harper,oscar55@example.org,BG9128,Checked-in
FL8766,2023-04-06,05:10,2023-09-11,05:27,KLK,GIZ,Sparks-Garcia,On Time,Martin Morrow,christina61@example.org,BG4040,Checked-in
FL4085,2023-10-16,22:10,2023-12-20,10:35,MID,QPF,"Mooney, Stevens and Carroll",On Time,Shawn Thompson,allisonpotts@example.net,BG2479,Delivered
FL1897,2023-04-07,07:22,2023-07-11,13:08,GBK,XXS,Johnston Inc,On Time,Riley Crane,cookbrenda@example.org,BG4761,Delivered
FL2832,2023-12-17,09:40,2023-12-24,09:21,GAT,GUQ,Obrien-Gibbs,On Time,Jacob Johnson,yorkcharles@example.com,BG5009,Loaded
FL5408,2023-04-02,11:01,2023-10-27,22:16,ZJC,GOR,Freeman Inc,On Time,Kristopher Patterson,brettjohnson@example.com,BG2142,Delivered
FL5363,2023-10-03,11:00,2023-10-03,21:06,VBU,RER,"Jones, Clark and Fischer",Cancelled,Carla Lopez,annereeves@example.net,BG6598,Loaded
FL2603,2023-02-19,21:26,2023-03-30,10:25,PVI,YMG,"Davies, Alexander and Pena",On Time,Juan King,joseph81@example.org,BG3255,Unloaded
FL6881,2023-04-04,02:48,2023-10-17,14:48,RSZ,HAI,Graham-Mendez,Cancelled,Ralph Garcia Jr.,frenchchristina@example.org,BG0591,Delivered
FL0765,2023-12-05,16:43,2023-12-20,16:52,CMY,FED,Rios and Sons,Delayed,Sherry Thompson,fdunn@example.org,BG3741,Loaded
FL2795,2023-07-02,03:37,2023-10-11,03:23,RJZ,UKS,"Ward, Garcia and Medina",Delayed,Jill Miller,jennifer66@example.com,BG8100,Unloaded
FL8093,2023-01-12,14:59,2023-03-01,11:26,NUH,OOL,Wagner-Hopkins,On Time,Hector Stewart,reginald69@example.com,BG8802,Loaded
FL0217,2023-12-06,04:02,2023-12-07,18:42,RQC,XCZ,"Castillo, Graham and Juarez",On Time,Jessica Reynolds,juliesteele@example.net,BG0145,Checked-in
FL5880,2023-03-02,00:18,2023-10-20,09:16,UNN,CSI,"French, Brown and Ramirez",On Time,Bradley Anderson,brianwilliams@example.org,BG2759,Delivered
FL5192,2023-05-13,09:15,2023-06-20,16:47,IOE,QWG,Avila Ltd,On Time,William Jones,millerlori@example.com,BG8507,Delivered
FL7832,2023-11-08,16:01,2023-12-25,08:03,QGA,FSR,Sellers LLC,On Time,Ruben Sanchez,reidcrystal@example.org,BG0871,Loaded
FL7540,2023-10-13,22:26,2023-12-15,10:41,ELE,UYV,Harris PLC,On Time,Jessica Foster,bjones@example.org,BG9958,Unloaded
FL8714,2023-05-03,07:47,2023-11-12,08:51,ISK,XPK,Haas Group,On Time,Katie Hardy,patrick24@example.org,BG3941,Loaded
FL1316,2023-03-10,16:26,2023-11-08,11:37,GYM,LJB,Sellers-Cooper,On Time,Dylan Cox,wholt@example.org,BG5343,Delivered
FL5560,2023-08-21,22:44,2023-11-28,13:12,OSG,QVX,Gonzalez-Williams,On Time,Amanda Benson,troymathews@example.com,BG2404,Checked-in
FL8416,2023-12-14,21:12,2023-12-30,10:50,ZST,CJW,Fernandez-Johnson,Cancelled,Bradley Garrett,vfletcher@example.net,BG8063,Checked-in
FL8927,2023-11-02,14:19,2023-11-07,17:02,KCQ,FML,"Lloyd, Branch and Jones",On Time,Bryan Robinson,morgannelson@example.org,BG5978,Unloaded
FL0920,2023-06-30,22:17,2023-07-21,19:04,MFN,YFA,Reyes-Morrison,On Time,Carrie Griffin,robinsonmichael@example.org,BG8737,Loaded
FL2764,2023-03-25,23:07,2023-11-23,21:46,KZY,LHQ,"Mclaughlin, Gray and Santiago",On Time,Janice Brandt,flynntiffany@example.com,BG5480,Delivered
FL0488,2023-11-23,11:07,2023-12-04,23:39,PYD,QLO,Warren-Khan,On Time,Joshua Cole,christianhahn@example.org,BG2846,Unloaded
FL4480,2023-03-23,02:53,2023-07-06,01:28,ZFJ,SNX,Erickson Group,On Time,Mrs. Jennifer Lynn,ebruce@example.org,BG2187,Unloaded
FL0859,2023-11-25,23:29,2023-12-27,08:01,XWU,UFP,Aguilar and Sons,On Time,Amy Harris,pmyers@example.org,BG2512,Unloaded
FL3483,2023-05-08,12:54,2023-12-03,22:17,LNA,CMO,Goodman Group,On Time,Aaron Cruz,karen16@example.org,BG8051,Unloaded
FL2177,2023-04-15,23:45,2023-04-24,23:12,YED,OAH,Jenkins-Hoover,On Time,Samantha Humphrey,marissa79@example.net,BG0082,Unloaded
FL5337,2023-01-01,08:25,2023-08-20,21:47,NVL,RWA,Ward-Sutton,On Time,Scott Lewis,christopher96@example.net,BG8166,Checked-in
FL5002,2023-07-07,12:55,2023-08-23,00:20,NNB,KXA,Garcia Inc,On Time,Sean Sparks,lauren27@example.net,BG0995,Checked-in
FL7823,2023-02-03,06:21,2023-11-15,22:06,VFI,LKP,"Martin, Nelson and Manning",On Time,Anna White,maciasdakota@example.org,BG2001,Unloaded
FL5064,2023-04-20,07:58,2023-12-01,01:37,BZY,ABY,"Sanchez, Gutierrez and Espinoza",Cancelled,Mark Jones,wboyd@example.org,BG8694,Delivered
FL7596,2023-05-13,14:29,2023-08-10,16:31,YPH,URK,"Marks, Spencer and Church",Delayed,Lisa Evans,lopeznancy@example.net,BG9182,Checked-in
FL7012,2023-04-30,11:26,2023-08-16,02:13,JCN,BTS,Butler-Savage,Cancelled,Mark Howard,christopherrichmond@example.org,BG0280,Checked-in
FL5067,2023-04-07,20:10,2023-04-10,01:16,TPS,MTX,Raymond-Thomas,On Time,Aaron Gilbert,jasmine95@example.com,BG6016,Checked-in
FL2376,2023-05-14,19:43,2023-08-20,05:58,DVF,TWJ,Garcia Group,On Time,Rhonda Mosley,matthew07@example.org,BG0138,Checked-in
FL4465,2023-08-27,19:02,2023-09-12,14:15,ZVS,DVU,Gonzalez Group,Delayed,Tracy York,zhunter@example.org,BG2039,Unloaded
FL9254,2023-08-08,21:44,2023-11-12,22:52,NGN,NWX,"Gutierrez, Bauer and Edwards",On Time,Adam Gonzales,amanda55@example.com,BG4071,Unloaded
FL7402,2023-04-15,07:11,2023-06-03,05:58,KUC,OBZ,"Johnson, Finley and Robbins",On Time,Andre Scott,samuelrobertson@example.net,BG1775,Loaded
FL4860,2023-12-18,07:14,2023-12-26,18:09,HPW,HXV,"Powers, Parker and Williams",On Time,Jonathon Weaver,hopkinsjason@example.org,BG8403,Delivered
FL2393,2023-06-06,08:08,2023-08-28,18:36,UTK,CWX,Shaw Group,Delayed,Christopher Lewis,dgarcia@example.org,BG1293,Checked-in
FL4419,2023-10-25,14:30,2023-12-25,21:05,CZX,LZZ,Hensley Ltd,On Time,Laura Wall,crawfordaustin@example.net,BG4313,Checked-in
FL3657,2023-10-06,01:31,2023-12-03,11:16,ADW,XCO,Mathis-Hall,On Time,Justin Grimes,ashleyjohnson@example.net,BG7480,Checked-in
FL3224,2023-06-14,09:17,2023-10-01,18:01,UDI,DWX,Barker Group,Delayed,Jennifer Williams,cooperjoe@example.net,BG6090,Unloaded
FL0191,2023-06-17,00:41,2023-08-06,18:38,SEB,JCM,"Maldonado, Mayer and Casey",On Time,Molly Lee,david99@example.com,BG0947,Loaded
FL5302,2023-08-18,05:17,2023-10-09,08:42,IFX,MGF,Meyer-Lawrence,On Time,Edwin Maldonado,jamesgregory@example.org,BG9958,Loaded
FL5456,2023-04-16,22:29,2023-09-21,04:57,WTI,VGM,"Hill, Mitchell and Campbell",On Time,Nancy Carson,clintonmitchell@example.com,BG5357,Delivered
FL8736,2023-01-08,04:59,2023-10-19,16:34,BXA,AKM,Avery-Vaughan,On Time,Angela Jones,kellyjonathan@example.com,BG7037,Checked-in
FL9921,2023-10-10,19:23,2023-12-24,17:16,CBP,RBA,"Diaz, Young and Jenkins",On Time,Robert Vincent,braunamber@example.net,BG3504,Unloaded
FL0939,2023-09-07,22:34,2023-10-23,21:18,WKM,ZXK,Barker LLC,On Time,William Edwards,jeremy41@example.net,BG6628,Loaded
FL4702,2023-02-26,01:56,2023-05-11,12:49,SYH,KJS,"Jones, Hernandez and Mitchell",On Time,Donna Gardner,nathan37@example.net,BG7010,Loaded
FL3539,2023-06-01,21:32,2023-07-27,20:47,REE,QDG,Fuller PLC,On Time,James Mcdonald,michaelcortez@example.com,BG5663,Loaded
FL0794,2023-07-13,12:57,2023-07-31,03:50,FJZ,XSI,"Payne, Gonzalez and Spencer",On Time,Tammy Hill,stevenrivera@example.org,BG1544,Loaded
FL0009,2023-03-30,05:17,2023-08-22,08:52,NGP,JBT,"Snyder, Yates and Parks",Cancelled,Joshua Golden,gsilva@example.com,BG2012,Delivered
FL3574,2023-07-10,20:31,2023-12-05,00:52,LES,VOX,Ashley Ltd,On Time,Linda Jenkins,hallrussell@example.org,BG0584,Loaded
FL2885,2023-08-17,09:15,2023-12-22,17:16,XJY,UCR,Delgado LLC,On Time,Mary Owens,myersjeffrey@example.org,BG9584,Loaded
FL3540,2023-02-09,14:00,2023-03-13,00:34,WUG,FMX,Gomez Ltd,Delayed,Jamie Pope,mfaulkner@example.org,BG2848,Unloaded
FL6033,2023-12-16,04:42,2023-12-25,12:25,KQC,ZCC,Vega and Sons,On Time,Veronica Krause,morganarmstrong@example.net,BG1883,Loaded
FL4107,2023-01-26,06:23,2023-05-31,21:32,DAY,CZM,Henry-Escobar,Delayed,Elizabeth Oconnor,dennis65@example.net,BG5708,Unloaded
FL0076,2023-11-08,22:58,2023-11-24,13:25,KWK,HII,"Cole, Castro and Bryant",On Time,Jennifer Nelson,kgreen@example.org,BG6172,Loaded
FL4636,2023-10-15,08:29,2023-10-29,14:41,BWG,PCJ,Burgess Group,On Time,Becky Moss,cathy27@example.org,BG4004,Checked-in
FL4455,2023-02-23,06:47,2023-06-24,03:42,NKW,IMB,Kennedy-Lopez,Cancelled,Ashley Barnes,osharp@example.org,BG9799,Unloaded
FL4446,2023-10-19,06:37,2023-11-16,18:24,MWS,RAO,"Snyder, Gordon and Brown",On Time,Joe Roth,devans@example.net,BG4776,Loaded
FL1893,2023-08-18,11:00,2023-10-10,00:41,RJU,DLU,"Hughes, Phillips and Taylor",On Time,William Le,ronniejones@example.org,BG4409,Unloaded
FL0599,2023-04-22,00:02,2023-11-10,12:04,IFY,SUK,"Freeman, Ramsey and Johnson",On Time,Sara Wade,nyates@example.com,BG0315,Loaded
FL7102,2023-01-14,03:42,2023-05-02,04:59,UXE,PYU,Jones Inc,Delayed,Meredith Keller,ortizamber@example.net,BG0952,Delivered
FL3895,2023-09-09,17:15,2023-10-28,01:49,XBI,SHN,"Ross, Huber and Gonzalez",On Time,Susan Adams,isaacryan@example.net,BG7045,Loaded
FL3818,2023-02-25,11:00,2023-08-28,21:08,QBX,RAT,Cooper and Sons,On Time,Jane Jacobs,pamela97@example.net,BG2866,Delivered
FL5826,2023-06-12,01:14,2023-09-22,23:34,VBL,JEH,Rice Group,On Time,David Lawson,butlerjoshua@example.org,BG8009,Delivered
FL3673,2023-01-09,12:40,2023-07-26,22:40,ZCV,FYW,Jones-Mullen,On Time,Mary Gardner,thess@example.org,BG7353,Unloaded
FL9635,2023-09-23,13:46,2023-12-08,18:58,GZZ,BOO,"Rubio, Kim and Howard",On Time,Heather Williams,qpayne@example.com,BG2704,Loaded
FL7139,2023-12-19,18:02,2023-12-22,11:38,TYK,MKF,"Mendoza, Carr and Ho",Delayed,David Green,cooktimothy@example.net,BG3743,Delivered
FL1207,2023-10-06,04:57,2023-12-03,19:55,QIR,BCF,Reeves-Le,On Time,Monique Mullins,davilabrandon@example.net,BG6527,Checked-in
FL9367,2023-01-28,22:58,2023-12-11,14:22,KHQ,UUO,Coleman-Curtis,Cancelled,Courtney Johnson,marymendez@example.org,BG4970,Delivered
FL0435,2023-07-16,07:34,2023-10-21,11:20,CUZ,IEJ,Bishop and Sons,Cancelled,Billy Stevenson,qhammond@example.net,BG4098,Loaded
FL0823,2023-01-04,05:44,2023-08-18,15:31,ARH,SJG,Pearson-Galvan,On Time,Ann Poole,wallacedustin@example.net,BG5146,Unloaded
FL3403,2023-07-10,16:11,2023-10-26,15:28,THB,KRY,"Jones, Simpson and Benton",Delayed,Joseph Ryan,kathleenhernandez@example.com,BG3768,Loaded
FL1573,2023-08-08,22:08,2023-12-09,12:59,DKU,UZV,"Graham, Pittman and Kelley",On Time,John Collins,wendyduncan@example.org,BG1423,Checked-in
FL0812,2023-12-16,03:55,2023-12-16,12:33,NYM,VNZ,Gray-Ramos,On Time,Charles Cabrera,jayyoder@example.org,BG7532,Loaded
FL0519,2023-07-14,15:04,2023-10-28,16:35,DTF,YLG,Foster-Lopez,On Time,Kimberly Adams,xnelson@example.net,BG8013,Loaded
FL6612,2023-02-11,11:16,2023-07-18,22:31,MSL,ANR,Goodwin Ltd,Cancelled,Curtis Williams,cabrerajoshua@example.net,BG2471,Checked-in
FL1252,2023-03-21,10:47,2023-11-26,23:09,EAK,XGS,Burton Inc,On Time,Dustin Hernandez,millermelanie@example.org,BG9019,Unloaded
FL8955,2023-10-10,17:18,2023-12-22,14:20,EBL,EZZ,"Newman, Marquez and Allen",On Time,Christopher Diaz,debraroberts@example.net,BG5629,Delivered
FL9381,2023-09-04,10:10,2023-09-05,03:35,VSN,NPK,Sandoval-Miller,On Time,Melissa Arellano,torresscott@example.net,BG7389,Unloaded
FL9351,2023-02-27,12:29,2023-06-17,14:11,HWT,FHF,Zamora Inc,On Time,Steven Bond DDS,christinedixon@example.net,BG1711,Unloaded
FL1396,2023-12-14,20:05,2023-12-21,10:43,EVQ,UNR,"Dixon, Copeland and Clark",On Time,Matthew Price,faulknerbrenda@example.net,BG0306,Checked-in
FL0341,2023-05-28,12:54,2023-12-24,05:18,YBL,UAT,Chen and Sons,On Time,Timothy Johnson,craigdonna@example.com,BG0742,Unloaded
FL3610,2023-05-08,04:15,2023-09-05,18:17,KFO,HAG,Peterson and Sons,On Time,Betty Tran,wgarcia@example.com,BG4926,Unloaded
FL9547,2023-07-26,00:37,2023-10-26,08:06,YXW,SOV,"Oliver, Mccoy and Williams",Cancelled,Douglas Page,kimberly20@example.org,BG7881,Checked-in
FL8149,2023-03-23,21:40,2023-11-04,23:33,FKA,KXH,Wilson-Knox,Delayed,Jeffery Petty,jose02@example.org,BG8378,Checked-in
FL8142,2023-04-27,14:55,2023-10-22,12:31,XWH,FHW,"Turner, Rivera and Johnson",Cancelled,Anna Jackson,pkeller@example.net,BG8471,Unloaded
FL8835,2023-01-28,02:56,2023-07-03,21:47,PXE,KPM,"Alvarado, Allen and Montoya",On Time,Angela Walton,luceroderrick@example.net,BG9995,Loaded
FL2998,2023-12-14,18:33,2023-12-20,10:37,YXU,JBY,Fox-Hill,On Time,Shannon Kennedy,tammycampos@example.net,BG2629,Delivered
FL0770,2023-07-11,03:19,2023-10-27,14:02,XKB,NLD,"Strickland, Adams and Johnson",On Time,Joshua Ray,jaclyn82@example.net,BG5250,Delivered
FL1904,2023-03-12,20:27,2023-07-11,09:27,IRB,QEO,Clay-Price,On Time,Douglas Walton,astone@example.net,BG8406,Checked-in
FL7213,2023-06-16,08:05,2023-06-18,08:11,WHZ,XDZ,Harris-Roman,On Time,Jennifer Martin,molly88@example.org,BG4925,Delivered
FL9817,2023-12-16,10:07,2023-12-27,00:18,OSG,ZTM,"Allen, Fletcher and Everett",Cancelled,Jose Mahoney,jellis@example.org,BG7757,Unloaded
FL5421,2023-02-26,13:05,2023-11-16,09:27,GFO,XZI,Phillips PLC,On Time,Matthew Logan,hancockthomas@example.net,BG9718,Delivered
FL0216,2023-08-28,23:13,2023-12-30,10:01,PQB,WYK,"Delgado, Brown and Franklin",On Time,Amanda Lucas,elizabeth96@example.net,BG5606,Checked-in
FL0049,2023-08-30,19:13,2023-11-04,01:57,PWT,CSD,King-Crawford,On Time,Tina Cunningham,virginiawatson@example.org,BG0487,Unloaded
FL9474,2023-08-18,19:41,2023-09-13,22:30,DPQ,RPU,"Keller, Anderson and Hall",On Time,Lisa Kim,santiagotravis@example.net,BG0957,Unloaded
FL6035,2023-03-25,14:31,2023-12-11,03:52,TIG,LTW,Jackson Ltd,On Time,Melissa Miller,fmontoya@example.org,BG0495,Loaded
FL1520,2023-10-30,13:03,2023-12-25,04:55,PFN,AQV,Hartman-Preston,On Time,Lisa Brown,nmcpherson@example.net,BG8874,Loaded
FL6054,2023-08-09,00:14,2023-10-28,13:23,OLI,YBW,"Jones, Perry and Flores",Delayed,Joseph Williams,erin75@example.com,BG8043,Loaded
FL0457,2023-12-23,08:01,2023-12-24,10:02,EBP,LBH,Kennedy-Johnson,Delayed,Mr. William Rodriguez PhD,williamsoncalvin@example.net,BG4226,Delivered
FL3554,2023-12-29,14:43,2023-12-30,16:46,XMW,EAS,"Alvarez, Stewart and Rush",On Time,Nicole Harris,curtisjacqueline@example.net,BG9039,Unloaded
FL0110,2023-01-06,14:49,2023-06-15,23:18,LPB,WDW,"Gay, Acosta and Bradley",On Time,Lori Caldwell,stephanieandersen@example.com,BG9467,Delivered
FL7092,2023-07-21,05:09,2023-12-05,10:30,KPY,BSX,Zavala Inc,On Time,Casey Peterson,sanchezwillie@example.com,BG2491,Checked-in
FL2695,2023-11-27,18:35,2023-12-03,19:12,NBB,SSN,Brown Inc,On Time,Mr. Paul Walker,choward@example.net,BG7333,Loaded
FL8905,2023-04-16,22:25,2023-11-01,14:12,IIL,BFZ,"Chandler, Miller and Boyd",On Time,Nathan Wilson,lisa83@example.com,BG8352,Delivered
FL4630,2023-06-23,18:11,2023-11-17,03:45,GFQ,GHU,Carr-Morgan,Cancelled,Terry Williams,mark08@example.com,BG0135,Unloaded
FL9789,2023-05-14,18:37,2023-12-01,06:18,DZB,JCC,Cole-Weber,On Time,Andrea Woodard,toddhansen@example.com,BG4805,Loaded
FL5196,2023-09-11,08:57,2023-09-16,03:20,GJP,YKM,Wright-Moore,Delayed,Joshua Roman,gnorris@example.com,BG8804,Delivered
FL5594,2023-04-24,18:24,2023-12-28,05:21,RTT,ICJ,Rivera Group,On Time,Derrick Andrade,jerrycole@example.com,BG8008,Loaded
FL9420,2023-12-29,02:37,2023-12-30,18:29,ACS,HQE,Diaz and Sons,On Time,Ricky White,johnstonrachel@example.com,BG9891,Checked-in
FL0325,2023-11-21,08:21,2023-12-01,20:13,QHQ,TBD,Wells-Bryant,Cancelled,Michelle Frost,apriljohnson@example.org,BG9841,Delivered
FL1138,2023-03-02,04:58,2023-10-02,01:48,DHS,IHO,Cross PLC,Delayed,Jacqueline Eaton,stacyprice@example.org,BG6578,Loaded
FL8729,2023-06-03,11:41,2023-07-01,08:02,GTS,YDA,"Harrison, Meyers and Sexton",On Time,Tyler Martin,charlesyang@example.net,BG8754,Delivered
FL0249,2023-02-16,00:35,2023-12-09,11:18,GEX,GKL,Watson Group,On Time,Lee Paul,janet39@example.com,BG3483,Checked-in
FL7944,2023-07-07,00:59,2023-10-28,08:43,TET,CAR,Patterson-Taylor,On Time,Brandy Griffith,michaelrodgers@example.org,BG1644,Unloaded
FL7196,2023-10-04,14:06,2023-12-17,08:28,SYA,XJQ,"Smith, Phelps and Robinson",On Time,Leslie Rodriguez,jamie28@example.net,BG4149,Delivered
FL5705,2023-07-08,03:17,2023-12-05,14:31,NQS,WJV,"Newton, Kemp and Perkins",On Time,Chad Fowler,nichole53@example.org,BG8401,Loaded
FL3174,2023-12-07,08:12,2023-12-13,19:44,EGH,OPL,Smith-Steele,On Time,Juan Williams,alisoncunningham@example.net,BG0170,Loaded
FL5216,2023-04-16,04:36,2023-10-07,03:28,GSB,JUR,Trujillo LLC,On Time,William Sweeney,jesse07@example.org,BG1648,Unloaded
FL6866,2023-04-10,08:11,2023-09-03,20:03,BUD,QPJ,Small-Hess,Cancelled,Jessica Russell,kimwhite@example.com,BG7720,Unloaded
